"gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score","math.grade","reading.grade","writing.grade"
"female","group B","bachelor's degree","standard","none",72,72,74,"C","C","C"
"female","group C","some college","standard","completed",69,90,88,"D","A","B"
"female","group B","master's degree","standard","none",90,95,93,"A","A","A"
"male","group A","associate's degree","free/reduced","none",47,57,44,"F","F","F"
"male","group C","some college","standard","none",76,78,75,"C","C","C"
"female","group B","associate's degree","standard","none",71,83,78,"C","B","C"
"female","group B","some college","standard","completed",88,95,92,"B","A","A"
"male","group B","some college","free/reduced","none",40,43,39,"F","F","F"
"male","group D","high school","free/reduced","completed",64,64,67,"D","D","D"
"female","group B","high school","free/reduced","none",38,60,50,"F","D","F"
"male","group C","associate's degree","standard","none",58,54,52,"F","F","F"
"male","group D","associate's degree","standard","none",40,52,43,"F","F","F"
"female","group B","high school","standard","none",65,81,73,"D","B","C"
"male","group A","some college","standard","completed",78,72,70,"C","C","C"
"female","group A","master's degree","standard","none",50,53,58,"F","F","F"
"female","group C","some high school","standard","none",69,75,78,"D","C","C"
"male","group C","high school","standard","none",88,89,86,"B","B","B"
"female","group B","some high school","free/reduced","none",18,32,28,"F","F","F"
"male","group C","master's degree","free/reduced","completed",46,42,46,"F","F","F"
"female","group C","associate's degree","free/reduced","none",54,58,61,"F","F","D"
"male","group D","high school","standard","none",66,69,63,"D","D","D"
"female","group B","some college","free/reduced","completed",65,75,70,"D","C","C"
"male","group D","some college","standard","none",44,54,53,"F","F","F"
"female","group C","some high school","standard","none",69,73,73,"D","C","C"
"male","group D","bachelor's degree","free/reduced","completed",74,71,80,"C","C","B"
"male","group A","master's degree","free/reduced","none",73,74,72,"C","C","C"
"male","group B","some college","standard","none",69,54,55,"D","F","F"
"female","group C","bachelor's degree","standard","none",67,69,75,"D","D","C"
"male","group C","high school","standard","none",70,70,65,"C","C","D"
"female","group D","master's degree","standard","none",62,70,75,"D","C","C"
"female","group D","some college","standard","none",69,74,74,"D","C","C"
"female","group B","some college","standard","none",63,65,61,"D","D","D"
"female","group E","master's degree","free/reduced","none",56,72,65,"F","C","D"
"male","group D","some college","standard","none",40,42,38,"F","F","F"
"male","group E","some college","standard","none",97,87,82,"A","B","B"
"male","group E","associate's degree","standard","completed",81,81,79,"B","B","C"
"female","group D","associate's degree","standard","none",74,81,83,"C","B","B"
"female","group D","some high school","free/reduced","none",50,64,59,"F","D","F"
"female","group D","associate's degree","free/reduced","completed",75,90,88,"C","A","B"
"male","group B","associate's degree","free/reduced","none",57,56,57,"F","F","F"
"male","group C","associate's degree","free/reduced","none",55,61,54,"F","D","F"
"female","group C","associate's degree","standard","none",58,73,68,"F","C","D"
"female","group B","associate's degree","standard","none",53,58,65,"F","F","D"
"male","group B","some college","free/reduced","completed",59,65,66,"F","D","D"
"female","group E","associate's degree","free/reduced","none",50,56,54,"F","F","F"
"male","group B","associate's degree","standard","none",65,54,57,"D","F","F"
"female","group A","associate's degree","standard","completed",55,65,62,"F","D","D"
"female","group C","high school","standard","none",66,71,76,"D","C","C"
"female","group D","associate's degree","free/reduced","completed",57,74,76,"F","C","C"
"male","group C","high school","standard","completed",82,84,82,"B","B","B"
"male","group E","some college","standard","none",53,55,48,"F","F","F"
"male","group E","associate's degree","free/reduced","completed",77,69,68,"C","D","D"
"male","group C","some college","standard","none",53,44,42,"F","F","F"
"male","group D","high school","standard","none",88,78,75,"B","C","C"
"female","group C","some high school","free/reduced","completed",71,84,87,"C","B","B"
"female","group C","high school","free/reduced","none",33,41,43,"F","F","F"
"female","group E","associate's degree","standard","completed",82,85,86,"B","B","B"
"male","group D","associate's degree","standard","none",52,55,49,"F","F","F"
"male","group D","some college","standard","completed",58,59,58,"F","F","F"
"female","group C","some high school","free/reduced","none",0,17,10,"F","F","F"
"male","group E","bachelor's degree","free/reduced","completed",79,74,72,"C","C","C"
"male","group A","some high school","free/reduced","none",39,39,34,"F","F","F"
"male","group A","associate's degree","free/reduced","none",62,61,55,"D","D","F"
"female","group C","associate's degree","standard","none",69,80,71,"D","B","C"
"female","group D","some high school","standard","none",59,58,59,"F","F","F"
"male","group B","some high school","standard","none",67,64,61,"D","D","D"
"male","group D","some high school","free/reduced","none",45,37,37,"F","F","F"
"female","group C","some college","standard","none",60,72,74,"D","C","C"
"male","group B","associate's degree","free/reduced","none",61,58,56,"D","F","F"
"female","group C","associate's degree","standard","none",39,64,57,"F","D","F"
"female","group D","some college","free/reduced","completed",58,63,73,"F","D","C"
"male","group D","some college","standard","completed",63,55,63,"D","F","D"
"female","group A","associate's degree","free/reduced","none",41,51,48,"F","F","F"
"male","group C","some high school","free/reduced","none",61,57,56,"D","F","F"
"male","group C","some high school","standard","none",49,49,41,"F","F","F"
"male","group B","associate's degree","free/reduced","none",44,41,38,"F","F","F"
"male","group E","some high school","standard","none",30,26,22,"F","F","F"
"male","group A","bachelor's degree","standard","completed",80,78,81,"B","C","B"
"female","group D","some high school","standard","completed",61,74,72,"D","C","C"
"female","group E","master's degree","standard","none",62,68,68,"D","D","D"
"female","group B","associate's degree","standard","none",47,49,50,"F","F","F"
"male","group B","high school","free/reduced","none",49,45,45,"F","F","F"
"male","group A","some college","free/reduced","completed",50,47,54,"F","F","F"
"male","group E","associate's degree","standard","none",72,64,63,"C","D","D"
"male","group D","high school","free/reduced","none",42,39,34,"F","F","F"
"female","group C","some college","standard","none",73,80,82,"C","B","B"
"female","group C","some college","free/reduced","none",76,83,88,"C","B","B"
"female","group D","associate's degree","standard","none",71,71,74,"C","C","C"
"female","group A","some college","standard","none",58,70,67,"F","C","D"
"female","group D","some high school","standard","none",73,86,82,"C","B","B"
"female","group C","bachelor's degree","standard","none",65,72,74,"D","C","C"
"male","group C","high school","free/reduced","none",27,34,36,"F","F","F"
"male","group C","high school","standard","none",71,79,71,"C","C","C"
"male","group C","associate's degree","free/reduced","completed",43,45,50,"F","F","F"
"female","group B","some college","standard","none",79,86,92,"C","B","A"
"male","group C","associate's degree","free/reduced","completed",78,81,82,"C","B","B"
"male","group B","some high school","standard","completed",65,66,62,"D","D","D"
"female","group E","some college","standard","completed",63,72,70,"D","C","C"
"female","group D","some college","free/reduced","none",58,67,62,"F","D","D"
"female","group D","bachelor's degree","standard","none",65,67,62,"D","D","D"
"male","group B","some college","standard","none",79,67,67,"C","D","D"
"male","group D","bachelor's degree","standard","completed",68,74,74,"D","C","C"
"female","group D","associate's degree","standard","none",85,91,89,"B","A","B"
"male","group B","high school","standard","completed",60,44,47,"D","F","F"
"male","group C","some college","standard","completed",98,86,90,"A","B","A"
"female","group C","some college","standard","none",58,67,72,"F","D","C"
"female","group D","master's degree","standard","none",87,100,100,"B","A","A"
"male","group E","associate's degree","standard","completed",66,63,64,"D","D","D"
"female","group B","associate's degree","free/reduced","none",52,76,70,"F","C","C"
"female","group B","some high school","standard","none",70,64,72,"C","D","C"
"female","group D","associate's degree","free/reduced","completed",77,89,98,"C","B","A"
"male","group C","high school","standard","none",62,55,49,"D","F","F"
"male","group A","associate's degree","standard","none",54,53,47,"F","F","F"
"female","group D","some college","standard","none",51,58,54,"F","F","F"
"female","group E","bachelor's degree","standard","completed",99,100,100,"A","A","A"
"male","group C","high school","standard","none",84,77,74,"B","C","C"
"female","group B","bachelor's degree","free/reduced","none",75,85,82,"C","B","B"
"female","group D","bachelor's degree","standard","none",78,82,79,"C","B","C"
"female","group D","some high school","standard","none",51,63,61,"F","D","D"
"female","group C","some college","standard","none",55,69,65,"F","D","D"
"female","group C","bachelor's degree","standard","completed",79,92,89,"C","A","B"
"male","group B","associate's degree","standard","completed",91,89,92,"A","B","A"
"female","group C","some college","standard","completed",88,93,93,"B","A","A"
"male","group D","high school","free/reduced","none",63,57,56,"D","F","F"
"male","group E","some college","standard","none",83,80,73,"B","B","C"
"female","group B","high school","standard","none",87,95,86,"B","A","B"
"male","group B","some high school","standard","none",72,68,67,"C","D","D"
"male","group D","some college","standard","completed",65,77,74,"D","C","C"
"male","group D","master's degree","standard","none",82,82,74,"B","B","C"
"female","group A","bachelor's degree","standard","none",51,49,51,"F","F","F"
"male","group D","master's degree","standard","none",89,84,82,"B","B","B"
"male","group C","some high school","free/reduced","completed",53,37,40,"F","F","F"
"male","group E","some college","free/reduced","completed",87,74,70,"B","C","C"
"female","group C","some college","standard","completed",75,81,84,"C","B","B"
"male","group D","bachelor's degree","free/reduced","completed",74,79,75,"C","C","C"
"male","group C","bachelor's degree","standard","none",58,55,48,"F","F","F"
"male","group B","some high school","standard","completed",51,54,41,"F","F","F"
"male","group E","high school","standard","none",70,55,56,"C","F","F"
"female","group C","associate's degree","standard","none",59,66,67,"F","D","D"
"male","group D","some college","standard","completed",71,61,69,"C","D","D"
"female","group D","some high school","standard","none",76,72,71,"C","C","C"
"female","group C","some college","free/reduced","none",59,62,64,"F","D","D"
"female","group E","some college","free/reduced","completed",42,55,54,"F","F","F"
"male","group A","high school","standard","none",57,43,47,"F","F","F"
"male","group D","some college","standard","none",88,73,78,"B","C","C"
"female","group C","some college","free/reduced","none",22,39,33,"F","F","F"
"male","group B","some high school","standard","none",88,84,75,"B","B","C"
"male","group C","associate's degree","free/reduced","none",73,68,66,"C","D","D"
"female","group D","bachelor's degree","standard","completed",68,75,81,"D","C","B"
"male","group E","associate's degree","free/reduced","completed",100,100,93,"A","A","A"
"male","group A","some high school","standard","completed",62,67,69,"D","D","D"
"male","group A","bachelor's degree","standard","none",77,67,68,"C","D","D"
"female","group B","associate's degree","standard","completed",59,70,66,"F","C","D"
"male","group D","bachelor's degree","standard","none",54,49,47,"F","F","F"
"male","group D","some high school","standard","none",62,67,61,"D","D","D"
"female","group C","some college","standard","completed",70,89,88,"C","B","B"
"female","group E","high school","free/reduced","completed",66,74,78,"D","C","C"
"male","group B","some college","free/reduced","none",60,60,60,"D","D","D"
"female","group B","associate's degree","standard","completed",61,86,87,"D","B","B"
"male","group D","associate's degree","free/reduced","none",66,62,64,"D","D","D"
"male","group B","associate's degree","free/reduced","completed",82,78,74,"B","C","C"
"female","group E","some college","free/reduced","completed",75,88,85,"C","B","B"
"male","group B","master's degree","free/reduced","none",49,53,52,"F","F","F"
"male","group C","high school","standard","none",52,53,49,"F","F","F"
"female","group E","master's degree","standard","none",81,92,91,"B","A","A"
"female","group C","bachelor's degree","standard","completed",96,100,100,"A","A","A"
"male","group C","high school","free/reduced","completed",53,51,51,"F","F","F"
"female","group B","master's degree","free/reduced","completed",58,76,78,"F","C","C"
"female","group B","high school","standard","completed",68,83,78,"D","B","C"
"female","group C","some college","free/reduced","completed",67,75,70,"D","C","C"
"male","group A","high school","standard","completed",72,73,74,"C","C","C"
"male","group E","some high school","standard","none",94,88,78,"A","B","C"
"female","group D","some college","standard","none",79,86,81,"C","B","B"
"female","group C","associate's degree","standard","none",63,67,70,"D","D","C"
"female","group C","bachelor's degree","free/reduced","completed",43,51,54,"F","F","F"
"female","group C","master's degree","standard","completed",81,91,87,"B","A","B"
"female","group B","high school","free/reduced","completed",46,54,58,"F","F","F"
"female","group C","associate's degree","standard","completed",71,77,77,"C","C","C"
"female","group B","master's degree","free/reduced","completed",52,70,62,"F","C","D"
"female","group D","some high school","standard","completed",97,100,100,"A","A","A"
"male","group C","master's degree","free/reduced","completed",62,68,75,"D","D","C"
"female","group C","some college","free/reduced","none",46,64,66,"F","D","D"
"female","group E","high school","standard","none",50,50,47,"F","F","F"
"female","group D","associate's degree","standard","none",65,69,70,"D","D","C"
"male","group C","some high school","free/reduced","completed",45,52,49,"F","F","F"
"male","group C","associate's degree","free/reduced","completed",65,67,65,"D","D","D"
"male","group E","high school","standard","none",80,76,65,"B","C","D"
"male","group D","some high school","standard","completed",62,66,68,"D","D","D"
"male","group B","some high school","free/reduced","none",48,52,45,"F","F","F"
"female","group C","bachelor's degree","standard","none",77,88,87,"C","B","B"
"female","group E","associate's degree","standard","none",66,65,69,"D","D","D"
"male","group D","some college","standard","completed",76,83,79,"C","B","C"
"female","group B","some high school","standard","none",62,64,66,"D","D","D"
"male","group D","some college","standard","completed",77,62,62,"C","D","D"
"female","group C","master's degree","standard","completed",69,84,85,"D","B","B"
"male","group D","associate's degree","standard","none",61,55,52,"D","F","F"
"male","group C","some high school","free/reduced","completed",59,69,65,"F","D","D"
"male","group E","high school","free/reduced","none",55,56,51,"F","F","F"
"female","group B","some college","free/reduced","none",45,53,55,"F","F","F"
"female","group B","bachelor's degree","free/reduced","none",78,79,76,"C","C","C"
"female","group C","associate's degree","standard","completed",67,84,86,"D","B","B"
"female","group D","some college","free/reduced","none",65,81,77,"D","B","C"
"male","group C","associate's degree","standard","none",69,77,69,"D","C","D"
"female","group B","associate's degree","standard","none",57,69,68,"F","D","D"
"male","group C","some college","standard","none",59,41,42,"F","F","F"
"male","group D","some high school","standard","completed",74,71,78,"C","C","C"
"male","group E","bachelor's degree","standard","none",82,62,62,"B","D","D"
"male","group E","high school","standard","completed",81,80,76,"B","B","C"
"female","group B","some college","free/reduced","none",74,81,76,"C","B","C"
"female","group B","some college","free/reduced","none",58,61,66,"F","D","D"
"male","group D","some high school","free/reduced","completed",80,79,79,"B","C","C"
"male","group C","some college","free/reduced","none",35,28,27,"F","F","F"
"female","group C","high school","free/reduced","none",42,62,60,"F","D","D"
"male","group C","associate's degree","free/reduced","completed",60,51,56,"D","F","F"
"male","group E","high school","standard","completed",87,91,81,"B","A","B"
"male","group B","some high school","standard","completed",84,83,75,"B","B","C"
"female","group E","associate's degree","free/reduced","completed",83,86,88,"B","B","B"
"female","group C","high school","free/reduced","none",34,42,39,"F","F","F"
"male","group B","high school","free/reduced","none",66,77,70,"D","C","C"
"male","group B","some high school","standard","completed",61,56,56,"D","F","F"
"female","group D","high school","standard","completed",56,68,74,"F","D","C"
"male","group B","associate's degree","standard","none",87,85,73,"B","B","C"
"female","group C","some high school","free/reduced","none",55,65,62,"F","D","D"
"male","group D","some high school","standard","none",86,80,75,"B","B","C"
"female","group B","associate's degree","standard","completed",52,66,73,"F","D","C"
"female","group E","master's degree","free/reduced","none",45,56,54,"F","F","F"
"female","group C","some college","standard","none",72,72,71,"C","C","C"
"male","group D","high school","standard","none",57,50,54,"F","F","F"
"male","group A","some high school","free/reduced","none",68,72,64,"D","C","D"
"female","group C","some college","standard","completed",88,95,94,"B","A","A"
"male","group D","some college","standard","none",76,64,66,"C","D","D"
"male","group C","associate's degree","standard","none",46,43,42,"F","F","F"
"female","group B","bachelor's degree","standard","none",67,86,83,"D","B","B"
"male","group E","some high school","standard","none",92,87,78,"A","B","C"
"male","group C","bachelor's degree","standard","completed",83,82,84,"B","B","B"
"male","group D","associate's degree","standard","none",80,75,77,"B","C","C"
"male","group D","bachelor's degree","free/reduced","none",63,66,67,"D","D","D"
"female","group D","some high school","standard","completed",64,60,74,"D","D","C"
"male","group B","some college","standard","none",54,52,51,"F","F","F"
"male","group C","associate's degree","standard","none",84,80,80,"B","B","B"
"male","group D","high school","free/reduced","completed",73,68,66,"C","D","D"
"female","group E","bachelor's degree","standard","none",80,83,83,"B","B","B"
"female","group D","high school","standard","none",56,52,55,"F","F","F"
"male","group E","some college","standard","none",59,51,43,"F","F","F"
"male","group D","some high school","standard","none",75,74,69,"C","C","D"
"male","group C","associate's degree","standard","none",85,76,71,"B","C","C"
"male","group E","associate's degree","standard","none",89,76,74,"B","C","C"
"female","group B","high school","standard","completed",58,70,68,"F","C","D"
"female","group B","high school","standard","none",65,64,62,"D","D","D"
"male","group C","high school","standard","none",68,60,53,"D","D","F"
"male","group A","some high school","standard","completed",47,49,49,"F","F","F"
"female","group D","some college","free/reduced","none",71,83,83,"C","B","B"
"female","group B","some high school","standard","completed",60,70,70,"D","C","C"
"male","group D","master's degree","standard","none",80,80,72,"B","B","C"
"male","group D","high school","standard","none",54,52,52,"F","F","F"
"female","group E","some college","standard","none",62,73,70,"D","C","C"
"female","group C","associate's degree","free/reduced","none",64,73,68,"D","C","D"
"male","group C","associate's degree","standard","completed",78,77,77,"C","C","C"
"female","group B","some college","standard","none",70,75,78,"C","C","C"
"female","group C","master's degree","free/reduced","completed",65,81,81,"D","B","B"
"female","group C","some high school","free/reduced","completed",64,79,77,"D","C","C"
"male","group C","some college","standard","completed",79,79,78,"C","C","C"
"female","group C","some high school","free/reduced","none",44,50,51,"F","F","F"
"female","group E","high school","standard","none",99,93,90,"A","A","A"
"male","group D","high school","standard","none",76,73,68,"C","C","D"
"male","group D","some high school","free/reduced","none",59,42,41,"F","F","F"
"female","group C","bachelor's degree","standard","none",63,75,81,"D","C","B"
"female","group D","high school","standard","none",69,72,77,"D","C","C"
"female","group D","associate's degree","standard","completed",88,92,95,"B","A","A"
"female","group E","some college","free/reduced","none",71,76,70,"C","C","C"
"male","group C","bachelor's degree","standard","none",69,63,61,"D","D","D"
"male","group C","some college","standard","none",58,49,42,"F","F","F"
"female","group D","associate's degree","free/reduced","none",47,53,58,"F","F","F"
"female","group D","some college","standard","none",65,70,71,"D","C","C"
"male","group B","some college","standard","completed",88,85,76,"B","B","C"
